,Maker,Miles per Gallon,Cylinders,Displacement,HP,Weight,Acceleration,Model,Origin,L/100km,kW,Fuel Consumption Type
54,Datsun 200SX,32.9,4.0,119.0,100.0,2615.0,14.8,81,Japan,7.149354963525836,74.5699872,Expensive
55,Mazda GLC Deluxe,32.8,4.0,78.0,52.0,1985.0,19.4,78,Japan,7.171151777439025,38.776393344,Expensive
56,Datsun 280-ZX,32.7,6.0,168.0,132.0,2910.0,11.4,80,Japan,7.193081905198776,98.432383104,Expensive
57,Honda Accord,32.4,4.0,107.0,72.0,2290.0,17.0,80,Japan,7.259684515432099,53.690390784,Expensive
58,Toyota Corolla,32.4,4.0,108.0,75.0,2350.0,16.8,81,Japan,7.259684515432099,55.927490399999996,Expensive
59,Subaru,32.3,4.0,97.0,67.0,2065.0,17.8,81,Japan,7.28216031888545,49.961891424,Expensive
60,Toyota Corolla,32.2,4.0,108.0,75.0,2265.0,15.2,80,Japan,7.304775723602484,55.927490399999996,Expensive
61,Chevrolet Chevette,32.1,4.0,98.0,70.0,2120.0,15.5,80,US,7.327532034267913,52.198991039999996,Expensive
62,Toyota Celica GT,32.0,4.0,144.0,96.0,2665.0,13.9,82,Japan,7.350430571875,71.587187712,Expensive
63,Dodge Rampage,32.0,4.0,135.0,84.0,2295.0,11.6,82,US,7.350430571875,62.638789248,Expensive
64,Honda Civic (auto),32.0,4.0,91.0,67.0,1965.0,15.7,82,Japan,7.350430571875,49.961891424,Expensive
65,Datsun 710,32.0,4.0,83.0,61.0,2003.0,19.0,74,Japan,7.350430571875,45.487692192,Expensive
66,Toyota Corolla 1200,32.0,4.0,71.0,65.0,1836.0,21.0,74,Japan,7.350430571875,48.47049168,Expensive
67,Datsun B-210,32.0,4.0,85.0,70.0,1990.0,17.0,76,Japan,7.350430571875,52.198991039999996,Expensive
68,Volkswagen Rabbit Custom,31.9,4.0,89.0,71.0,1925.0,14.0,79,Europe,7.373472673981191,52.944690912,Expensive
69,Datsun 210,31.8,4.0,85.0,65.0,2020.0,19.2,79,Japan,7.3966596949685535,48.47049168,Expensive
70,Mazda 626,31.6,4.0,120.0,74.0,2635.0,18.3,81,Japan,7.443473996835443,55.181790528,Expensive
71,Volkswagen Scirocco,31.5,4.0,89.0,71.0,1990.0,14.9,78,Europe,7.467104073015873,52.944690912,Expensive
72,Honda Accord CVCC,31.5,4.0,98.0,68.0,2045.0,18.5,77,Japan,7.467104073015873,50.707591296,Expensive
73,Mazda 626,31.3,4.0,120.0,75.0,2542.0,17.5,80,Japan,7.514817198083067,55.927490399999996,Expensive
74,Toyota Corolla,31.0,4.0,76.0,52.0,1649.0,16.5,74,Japan,7.587541235483871,38.776393344,Expensive
75,Fiat x1.9,31.0,4.0,79.0,67.0,2000.0,16.0,74,Europe,7.587541235483871,49.961891424,Expensive
76,Datsun B210,31.0,4.0,79.0,67.0,1950.0,19.0,74,Japan,7.587541235483871,49.961891424,Expensive
77,Chevy S-10,31.0,4.0,119.0,82.0,2720.0,19.4,82,US,7.587541235483871,61.147389503999996,Expensive
78,Toyota Corolla 1200,31.0,4.0,71.0,65.0,1773.0,19.0,71,Japan,7.587541235483871,48.47049168,Expensive
79,Pontiac J2000 SE Hatchback,31.0,4.0,112.0,85.0,2575.0,16.2,82,US,7.587541235483871,63.38448912,Expensive
80,Mazda GLC Custom,31.0,4.0,91.0,68.0,1970.0,17.6,82,Japan,7.587541235483871,50.707591296,Expensive
81,Dodge Omni,30.9,4.0,105.0,75.0,2230.0,14.5,78,US,7.612096385113269,55.927490399999996,Expensive
82,Volvo Diesel,30.7,6.0,145.0,76.0,3160.0,19.6,81,Europe,7.661686589576547,56.673190272,Expensive
83,Chevrolet Chevette,30.5,4.0,98.0,63.0,2051.0,17.0,77,US,7.711927157377049,46.979091935999996,Expensive
84,Volkswagen Dasher,30.5,4.0,97.0,78.0,2190.0,14.1,77,Europe,7.711927157377049,58.164590016,Expensive
85,Chevrolet Chevette,30.0,4.0,98.0,68.0,2155.0,16.5,78,US,7.8404592766666665,50.707591296,Expensive
86,Peugeot 304,30.0,4.0,79.0,70.0,2074.0,19.5,71,Europe,7.8404592766666665,52.198991039999996,Expensive
87,Fiat 124B,30.0,4.0,88.0,76.0,2065.0,14.5,71,Europe,7.8404592766666665,56.673190272,Expensive
88,Subaru DL,30.0,4.0,97.0,67.0,1985.0,16.4,77,Japan,7.8404592766666665,49.961891424,Expensive
89,Mercedes-Benz 240d,30.0,4.0,146.0,67.0,3250.0,21.8,80,Europe,7.8404592766666665,49.961891424,Expensive
90,Buick Opel Isuzu Deluxe,30.0,4.0,111.0,80.0,2155.0,14.8,77,US,7.8404592766666665,59.65598976,Expensive
91,Plymouth Reliant,30.0,4.0,135.0,84.0,2385.0,12.9,81,US,7.8404592766666665,62.638789248,Expensive
92,Ford Escort 2H,29.9,4.0,98.0,65.0,2380.0,20.7,81,US,7.8666815484949835,48.47049168,Expensive
93,Toyota Corolla Liftback,29.8,4.0,134.0,90.0,2711.0,15.5,80,Japan,7.893079808724832,67.11298848,Expensive
94,Volkswagen Rabbit,29.8,4.0,89.0,62.0,1845.0,15.3,80,Europe,7.893079808724832,46.233392064,Expensive
95,Volkswagen Rabbit,29.5,4.0,97.0,71.0,1825.0,12.2,76,Europe,7.973348416949152,52.944690912,Expensive
96,Honda Accord LX,29.5,4.0,98.0,68.0,2135.0,16.6,78,Japan,7.973348416949152,50.707591296,Expensive
97,Dodge Aries SE,29.0,4.0,135.0,84.0,2525.0,16.0,82,US,8.11081994137931,62.638789248,Expensive
98,Audi Fox,29.0,4.0,98.0,83.0,2219.0,16.5,74,Europe,8.11081994137931,61.893089376,Expensive
99,Volkswagen Rabbit,29.0,4.0,90.0,70.0,1937.0,14.2,76,Europe,8.11081994137931,52.198991039999996,Expensive
100,Chevrolet Chevette,29.0,4.0,85.0,52.0,2035.0,22.2,76,US,8.11081994137931,38.776393344,Expensive
101,Volkswagen Rabbit,29.0,4.0,90.0,70.0,1937.0,14.0,75,Europe,8.11081994137931,52.198991039999996,Expensive
102,Volkswagen Rabbit Custom,29.0,4.0,97.0,78.0,1940.0,14.5,77,Europe,8.11081994137931,58.164590016,Expensive
103,Fiat 128,29.0,4.0,68.0,49.0,1867.0,19.5,73,Europe,8.11081994137931,36.539293728,Expensive
104,Toyota Corolla,29.0,4.0,97.0,75.0,2171.0,16.0,75,Japan,8.11081994137931,55.927490399999996,Expensive
105,Chevrolet Citation,28.8,6.0,173.0,115.0,2595.0,11.3,79,US,8.167145079861111,85.75548528,Expensive
106,Buick Skylark Limited,28.4,4.0,151.0,90.0,2670.0,16.0,79,US,8.282175292253521,67.11298848,Expensive
107,Peugeot 505s Turbo Diesel,28.1,4.0,141.0,80.0,3230.0,20.4,81,Europe,8.37059709252669,59.65598976,Expensive
108,Ford Ranger,28.0,4.0,120.0,79.0,2625.0,18.6,82,US,8.400492082142858,58.910289888,Expensive
109,Fiat 131,28.0,4.0,107.0,86.0,2464.0,15.5,76,Europe,8.400492082142858,64.130188992,Expensive
110,Dodge Colt,28.0,4.0,90.0,75.0,2125.0,14.5,74,US,8.400492082142858,55.927490399999996,Expensive
111,Chevrolet Cavalier,28.0,4.0,112.0,88.0,2605.0,19.6,82,US,8.400492082142858,65.62158873599999,Expensive
112,Dodge Colt (sw),28.0,4.0,98.0,80.0,2164.0,15.0,72,US,8.400492082142858,59.65598976,Expensive
113,Datsun 510 (sw),28.0,4.0,97.0,92.0,2288.0,17.0,72,Japan,8.400492082142858,68.604388224,Expensive
114,Opel 1900,28.0,4.0,116.0,90.0,2123.0,14.0,71,Europe,8.400492082142858,67.11298848,Expensive
115,Chevrolet Citation,28.0,4.0,151.0,90.0,2678.0,16.5,80,US,8.400492082142858,67.11298848,Expensive
116,Chevrolet Vega 2300,28.0,4.0,140.0,90.0,2264.0,15.5,71,US,8.400492082142858,67.11298848,Expensive
117,Toyota Corolla,28.0,4.0,97.0,75.0,2155.0,16.4,76,Japan,8.400492082142858,55.927490399999996,Expensive
118,Dodge Colt,27.9,4.0,156.0,105.0,2800.0,14.4,80,US,8.430601372759858,78.29848656,Expensive
119,Toyota Corolla,27.5,4.0,134.0,95.0,2560.0,14.2,78,Japan,8.553228301818182,70.84148784,Expensive
120,AMC Spirit DL,27.4,4.0,121.0,80.0,2670.0,15.0,79,US,8.584444463503651,59.65598976,Expensive
121,Plymouth Reliant,27.2,4.0,135.0,84.0,2490.0,15.7,81,US,8.647565378676472,62.638789248,Expensive
122,Peugeot 504,27.2,4.0,141.0,71.0,3190.0,24.8,79,Europe,8.647565378676472,52.944690912,Expensive
123,Datsun 510,27.2,4.0,119.0,97.0,2300.0,14.7,78,Japan,8.647565378676472,72.332887584,Expensive
124,Chevrolet Camaro,27.0,4.0,151.0,90.0,2950.0,17.3,82,US,8.711621418518519,67.11298848,Expensive
125,Datsun PL510,27.0,4.0,97.0,88.0,2130.0,14.5,70,Japan,8.711621418518519,65.62158873599999,Expensive
126,Toyota Corolla 1600 (sw),27.0,4.0,97.0,88.0,2100.0,16.5,72,Japan,8.711621418518519,65.62158873599999,Expensive
127,Volkswagen Model 111,27.0,4.0,97.0,60.0,1834.0,19.0,71,Europe,8.711621418518519,44.74199232,Expensive
128,Pontiac Phoenix,27.0,4.0,151.0,90.0,2735.0,18.0,82,US,8.711621418518519,67.11298848,Expensive
129,Ford Mustang GL,27.0,4.0,140.0,86.0,2790.0,15.6,82,US,8.711621418518519,64.130188992,Expensive
130,Chevrolet Cavalier Wagon,27.0,4.0,112.0,88.0,2640.0,18.6,82,US,8.711621418518519,65.62158873599999,Expensive
131,Renault 12tl,27.0,4.0,101.0,83.0,2202.0,15.3,76,Europe,8.711621418518519,61.893089376,Expensive
132,Datsun PL510,27.0,4.0,97.0,88.0,2130.0,14.5,71,Japan,8.711621418518519,65.62158873599999,Expensive
133,Oldsmobile Omega Brougham,26.8,6.0,173.0,115.0,2700.0,12.9,79,US,8.776633518656716,85.75548528,Expensive
134,Oldsmobile Cutlass LS,26.6,8.0,350.0,105.0,3725.0,19.0,81,US,8.842623244360901,78.29848656,Expensive
135,Buick Skylark,26.6,4.0,151.0,84.0,2635.0,16.4,81,US,8.842623244360901,62.638789248,Expensive
136,Ford Pinto,26.5,4.0,140.0,72.0,2565.0,13.6,76,US,8.875991633962265,53.690390784,Expensive
137,Ford Fairmont,26.4,4.0,140.0,88.0,2870.0,18.1,80,US,8.90961281439394,65.62158873599999,Expensive
138,Subaru,26.0,4.0,108.0,93.0,2391.0,15.5,74,Japan,9.04668378076923,69.350088096,Expensive
139,Chrysler Lebaron Medallion,26.0,4.0,156.0,92.0,2585.0,14.5,82,US,9.04668378076923,68.604388224,Expensive
140,Opel Manta,26.0,4.0,97.0,78.0,2300.0,14.5,74,Europe,9.04668378076923,58.164590016,Expensive
141,Volkswagen Dasher,26.0,4.0,79.0,67.0,1963.0,15.5,74,Europe,9.04668378076923,49.961891424,Expensive
142,Renault 12 (sw),26.0,4.0,96.0,69.0,2189.0,18.0,72,Europe,9.04668378076923,51.453291168,Expensive
143,Fiat 124 TC,26.0,4.0,116.0,75.0,2246.0,14.0,74,Europe,9.04668378076923,55.927490399999996,Expensive
144,Dodge Colt,26.0,4.0,98.0,79.0,2255.0,17.7,76,US,9.04668378076923,58.910289888,Expensive
145,Ford Pinto,26.0,4.0,122.0,80.0,2451.0,16.5,74,US,9.04668378076923,59.65598976,Expensive
146,BMW 2002,26.0,4.0,121.0,113.0,2234.0,12.5,70,Europe,9.04668378076923,84.264085536,Expensive
147,Volkswagen 1131 Deluxe Sedan,26.0,4.0,97.0,46.0,1835.0,20.5,70,Europe,9.04668378076923,34.302194112,Expensive
148,Volkswagen Super Beetle,26.0,4.0,97.0,46.0,1950.0,21.0,73,Europe,9.04668378076923,34.302194112,Expensive
149,Toyota Corolla Liftback,26.0,4.0,97.0,75.0,2265.0,18.2,77,Japan,9.04668378076923,55.927490399999996,Expensive
150,Plymouth Cricket,26.0,4.0,91.0,70.0,1955.0,20.5,71,US,9.04668378076923,52.198991039999996,Expensive
151,Fiat 124 Sport Coupe,26.0,4.0,98.0,90.0,2265.0,15.5,73,Europe,9.04668378076923,67.11298848,Expensive
152,Dodge Aries Wagon (sw),25.8,4.0,156.0,92.0,2620.0,14.4,81,US,9.1168131124031,68.604388224,Expensive
153,Ford Mustang II 2+2,25.5,4.0,140.0,89.0,2755.0,15.8,77,US,9.224069737254903,66.367288608,Expensive
154,Plymouth Arrow GS,25.5,4.0,122.0,96.0,2300.0,15.5,77,US,9.224069737254903,71.587187712,Expensive
155,Toyota Cressida,25.4,6.0,168.0,116.0,2900.0,12.6,81,Japan,9.260384972440946,86.501185152,Expensive
156,Mercedes Benz 300d,25.4,5.0,183.0,77.0,3530.0,20.1,79,Europe,9.260384972440946,57.418890144,Expensive
157,Ford Fairmont (man),25.1,4.0,140.0,88.0,2720.0,15.4,78,US,9.371066864541833,65.62158873599999,Expensive
158,Ford Pinto,25.0,4.0,98.0,0.0,2046.0,19.0,71,US,9.408551132,0.0,Expensive
159,Saab 99LE,25.0,4.0,121.0,115.0,2671.0,13.5,75,Europe,9.408551132,85.75548528,Expensive
160,Opel 1900,25.0,4.0,116.0,81.0,2220.0,16.9,76,Europe,9.408551132,60.401689632,Expensive
161,Capri ii,25.0,4.0,140.0,92.0,2572.0,14.9,76,US,9.408551132,68.604388224,Expensive
162,Dodge Colt Hardtop,25.0,4.0,97.5,80.0,2126.0,17.0,72,US,9.408551132,59.65598976,Expensive
163,Toyota Corolla,25.0,4.0,113.0,95.0,2228.0,14.0,71,Japan,9.408551132,70.84148784,Expensive
164,Saab 99e,25.0,4.0,104.0,95.0,2375.0,17.5,70,Europe,9.408551132,70.84148784,Expensive
165,Buick Century Limited,25.0,6.0,181.0,110.0,2945.0,16.4,82,US,9.408551132,82.02698592,Expensive
166,Peugeot 504,25.0,4.0,110.0,87.0,2672.0,17.5,70,Europe,9.408551132,64.875888864,Expensive
167,Chevrolet Vega,25.0,4.0,140.0,75.0,2542.0,17.0,74,US,9.408551132,55.927490399999996,Expensive
168,Volkswagen Dasher,25.0,4.0,90.0,71.0,2223.0,16.5,75,Europe,9.408551132,52.944690912,Expensive
169,Pontiac Sunbird Coupe,24.5,4.0,151.0,88.0,2740.0,16.0,77,US,9.600562379591837,65.62158873599999,Expensive
170,Chevrolet Woody,24.5,4.0,98.0,60.0,2164.0,22.1,76,US,9.600562379591837,44.74199232,Expensive
171,AMC Concord,24.3,4.0,151.0,90.0,3003.0,20.1,80,US,9.679579353909466,67.11298848,Expensive
172,Datsun 810 Maxima,24.2,6.0,146.0,120.0,2930.0,13.8,81,Japan,9.71957761570248,89.48398464,Expensive
173,Toyota Corolla Hardtop,24.0,4.0,113.0,95.0,2278.0,15.5,72,Japan,9.800574095833333,70.84148784,Expensive
174,Datsun 710,24.0,4.0,119.0,97.0,2545.0,17.0,75,Japan,9.800574095833333,72.332887584,Expensive
175,Ford Maverick,24.0,6.0,200.0,81.0,3012.0,17.6,76,US,9.800574095833333,60.401689632,Expensive
176,Opel Manta,24.0,4.0,116.0,75.0,2158.0,15.5,73,Europe,9.800574095833333,55.927490399999996,Expensive
177,Audi 100 LS,24.0,4.0,107.0,90.0,2430.0,14.5,70,Europe,9.800574095833333,67.11298848,Expensive
178,Honda Civic,24.0,4.0,120.0,97.0,2489.0,15.0,74,Japan,9.800574095833333,72.332887584,Expensive
179,Fiat 128,24.0,4.0,90.0,75.0,2108.0,15.5,74,Europe,9.800574095833333,55.927490399999996,Expensive
180,Ford Fairmont Futura,24.0,4.0,140.0,92.0,2865.0,16.4,82,US,9.800574095833333,68.604388224,Expensive
181,Toyota Corolla,24.0,4.0,134.0,96.0,2702.0,13.5,75,Japan,9.800574095833333,71.587187712,Expensive
182,Saab 99le,24.0,4.0,121.0,110.0,2660.0,14.0,73,Europe,9.800574095833333,82.02698592,Expensive
183,Toyota Corolla Mark ii,24.0,4.0,113.0,95.0,2372.0,15.0,70,Japan,9.800574095833333,70.84148784,Expensive
184,Datsun 200-SX,23.9,4.0,119.0,97.0,2405.0,14.9,78,Japan,9.841580682008368,72.332887584,Expensive
185,Oldsmobile Cutlass Salon Brougham,23.9,8.0,260.0,90.0,3420.0,22.2,79,US,9.841580682008368,67.11298848,Expensive
186,Oldsmobile Starfire SX,23.8,4.0,151.0,85.0,2855.0,17.6,78,US,9.882931861344538,63.38448912,Expensive
187,Mazda RX-7 GS,23.7,3.0,70.0,100.0,2420.0,12.5,80,Japan,9.92463199578059,74.5699872,Expensive
188,Ford Mustang Cobra,23.6,4.0,140.0,0.0,2905.0,14.3,80,US,9.96668552118644,0.0,Expensive
189,Chevrolet Citation,23.5,6.0,173.0,110.0,2725.0,12.6,81,US,10.00909694893617,82.02698592,Expensive
190,Plymouth Sapporo,23.2,4.0,156.0,105.0,2745.0,16.7,78,US,10.138524926724138,78.29848656,Expensive
191,Toyota Corolla Mark II (sw),23.0,4.0,120.0,97.0,2506.0,14.5,72,Japan,10.226686013043478,72.332887584,Expensive
192,Volkswagen Type 3,23.0,4.0,97.0,54.0,2254.0,23.5,72,Europe,10.226686013043478,40.267793088,Expensive
193,Cadillac Eldorado,23.0,8.0,350.0,125.0,3900.0,17.4,79,US,10.226686013043478,93.212484,Expensive
194,Plymouth Duster,23.0,6.0,198.0,95.0,2904.0,16.0,73,US,10.226686013043478,70.84148784,Expensive
195,Ford Pinto,23.0,4.0,140.0,83.0,2639.0,17.0,75,US,10.226686013043478,61.893089376,Expensive
196,Pontiac Astro,23.0,4.0,140.0,78.0,2592.0,18.5,75,US,10.226686013043478,58.164590016,Expensive
197,AMC Concord DL,23.0,4.0,151.0,0.0,3035.0,20.5,82,US,10.226686013043478,0.0,Expensive
198,Peugeot 504,23.0,4.0,120.0,88.0,2957.0,17.0,75,Europe,10.226686013043478,65.62158873599999,Expensive
199,Audi 100LS,23.0,4.0,115.0,95.0,2694.0,15.0,75,Europe,10.226686013043478,70.84148784,Expensive
200,Mercury Capri 2000,23.0,4.0,122.0,86.0,2220.0,14.0,71,US,10.226686013043478,64.130188992,Expensive
201,AMC Hornet,22.5,6.0,232.0,90.0,3085.0,17.6,76,US,10.453945702222223,67.11298848,Expensive
202,Buick Century,22.4,6.0,231.0,110.0,3415.0,15.8,81,US,10.500615102678573,82.02698592,Expensive
203,Ford Fairmont 4,22.3,4.0,140.0,88.0,2890.0,17.3,79,US,10.547703062780268,65.62158873599999,Expensive
204,Datsun 810,22.0,6.0,146.0,97.0,2815.0,14.5,77,Japan,10.691535377272727,72.332887584,Expensive
205,Ford Grenada l,22.0,6.0,232.0,112.0,2835.0,14.7,82,US,10.691535377272727,83.518385664,Expensive
206,Plymouth Duster,22.0,6.0,198.0,95.0,2833.0,15.5,70,US,10.691535377272727,70.84148784,Expensive
207,Ford Pinto (sw),22.0,4.0,122.0,86.0,2395.0,16.0,72,US,10.691535377272727,64.130188992,Expensive
208,Volkswagen 411 (sw),22.0,4.0,121.0,76.0,2511.0,18.0,72,Europe,10.691535377272727,56.673190272,Expensive
209,Volvo 244DL,22.0,4.0,121.0,98.0,2945.0,14.5,75,Europe,10.691535377272727,73.078587456,Expensive
210,Datsun 610,22.0,4.0,108.0,94.0,2379.0,16.5,73,Japan,10.691535377272727,70.095787968,Expensive
211,Chevrolet Nova,22.0,6.0,250.0,105.0,3353.0,14.5,76,US,10.691535377272727,78.29848656,Expensive
212,Plymouth Valiant,22.0,6.0,225.0,100.0,3233.0,15.4,76,US,10.691535377272727,74.5699872,Expensive
213,Chevrolet Vega (sw),22.0,4.0,140.0,72.0,2408.0,19.0,71,US,10.691535377272727,53.690390784,Expensive
214,Saab 99gle,21.6,4.0,121.0,115.0,2795.0,15.7,78,Europe,10.889526773148148,85.75548528,Expensive
215,Pontiac Lemans V6,21.5,6.0,231.0,115.0,3245.0,15.4,79,US,10.940175734883722,85.75548528,Expensive
216,Mazda RX-4,21.5,3.0,80.0,110.0,2720.0,13.5,77,Japan,10.940175734883722,82.02698592,Expensive
217,BMW 320i,21.5,4.0,121.0,110.0,2600.0,12.8,77,Europe,10.940175734883722,82.02698592,Expensive
218,Toyota Celica GT Liftback,21.1,4.0,134.0,95.0,2515.0,14.8,78,Japan,11.14757243127962,70.84148784,Expensive
219,Buick Skyhawk,21.0,6.0,231.0,110.0,3039.0,15.0,75,US,11.200656109523809,82.02698592,Expensive
220,Ford Maverick,21.0,6.0,200.0,85.0,2587.0,16.0,70,US,11.200656109523809,63.38448912,Expensive
221,Ford Maverick,21.0,6.0,200.0,0.0,2875.0,17.0,74,US,11.200656109523809,0.0,Expensive
222,AMC Gremlin,21.0,6.0,199.0,90.0,2648.0,15.0,70,US,11.200656109523809,67.11298848,Expensive
223,Peugeot 504 (sw),21.0,4.0,120.0,87.0,2979.0,19.5,72,Europe,11.200656109523809,64.875888864,Expensive
224,Mercury Capri v6,21.0,6.0,155.0,107.0,2472.0,14.0,73,US,11.200656109523809,79.78988630399999,Expensive
225,Ford Pinto Runabout,21.0,4.0,122.0,86.0,2226.0,16.5,72,US,11.200656109523809,64.130188992,Expensive
